"","Binomial","Beta","Hurdle"
"Mstar",129.165946684412,236.639551089831,365.805497774243
"Mvir",384.924076861072,677.588967670168,1062.51304453124
"ssfr_stars",202.099674992184,23.4852452947153,225.584920286899
"sfr_stars",452.362538553238,532.307619331903,984.670157885141
"baryon_fraction",4327.1751087112,2055.45410564614,6382.62921435734
"spin",43.1335989635779,11.3787327471705,54.5123317107483
"QHI",4280.64323941914,4955.22725719022,9235.87049660937
"C",913.305467268817,454.287299118896,1367.59276638771
