y x hat B.1 B.2 B.3 B.4 B.5 B.6 B.7 B.8 B.9 B.10
-0.042291754903829 0.0660660660660661 -0.0953745954266874 0.0538181462104366 -0.198407098282 0.0584786943151624 -0.00926433767028312 0 0 0 0 0 0
-0.0429849705353462 0.0680680680680681 -0.0978584504614979 0.0523599284530074 -0.201853047758674 0.0617669984151663 -0.0101323295709939 0 0 0 0 0 0
-0.0436574418281145 0.0700700700700701 -0.100164519159874 0.0509282920472563 -0.205165646960763 0.0651257471712112 -0.0110529114175749 0 0 0 0 0 0
-0.0443107324884152 0.0720720720720721 -0.102297709239189 0.0495229924866632 -0.208346405630285 0.0685533338775757 -0.0120276299731399 0 0 0 0 0 0
-0.0449464442968046 0.0740740740740741 -0.104262928416816 0.0481437852647083 -0.211396833509256 0.0720481518285385 -0.0130580320008028 0 0 0 0 0 0
-0.0455662165209292 0.0760760760760761 -0.106065084410127 0.0467904258748713 -0.214318440339696 0.0756085943183784 -0.0141456642636774 0 0 0 0 0 0
-0.0461717253138041 0.0780780780780781 -0.107709084936498 0.0454626698106323 -0.217112735863624 0.079233054641374 -0.0152920735248776 0 0 0 0 0 0
-0.0467646830977203 0.0800800800800801 -0.1091998377133 0.0441602725654713 -0.219781229823056 0.0829199260918039 -0.016498806547517 0 0 0 0 0 0
-0.0473468379339456 0.0820820820820821 -0.110542250457909 0.0428829896328682 -0.222325431960011 0.0866676019639469 -0.0177674100947097 0 0 0 0 0 0
-0.0479199728783935 0.0840840840840841 -0.111741230887695 0.0416305765063029 -0.224746852016508 0.0904744755520816 -0.0190994309295694 0 0 0 0 0 0
-0.0484859053234327 0.0860860860860861 -0.112801686720034 0.0404027886792555 -0.227046999734564 0.0943389401504869 -0.02049641581521 0 0 0 0 0 0
-0.0490464863260185 0.0880880880880881 -0.113728525672299 0.0391993816452059 -0.229227384856198 0.0982593890534412 -0.0219599115147452 0 0 0 0 0 0
-0.0496035999223279 0.0900900900900901 -0.114526655461862 0.038020110897634 -0.231289517123428 0.102234215555223 -0.0234914647912889 0 0 0 0 0 0
-0.0501591624290855 0.0920920920920921 -0.115200983806098 0.0368647319300199 -0.233234906278272 0.106261812950112 -0.025092622407955 0 0 0 0 0 0
-0.0507151217317717 0.0940940940940941 -0.115756418422379 0.0357330002358435 -0.235065062062749 0.110340574532386 -0.0267649311278572 0 0 0 0 0 0
-0.0512734565599053 0.0960960960960961 -0.116197867028079 0.0346246713085848 -0.236781494218876 0.114468893596324 -0.0285099377141094 0 0 0 0 0 0
-0.051836175749601 0.0980980980980981 -0.116530237340571 0.0335395006417236 -0.238385712488671 0.118645163436204 -0.0303291889298255 0 0 0 0 0 0
-0.0524053174936016 0.1001001001001 -0.11675843707723 0.0324772437287401 -0.239879226614154 0.122867777346305 -0.0322242315381192 0 0 0 0 0 0
-0.0529829485789899 0.102102102102102 -0.116887373955427 0.0314376560631141 -0.241263546337341 0.127135128620907 -0.0341966123021044 0 0 0 0 0 0
-0.0535711636127903 0.104104104104104 -0.116921955692536 0.0304204931383256 -0.242540181400252 0.131445610554287 -0.0362478779848949 0 0 0 0 0 0
-0.0541720842356707 0.106106106106106 -0.116867090005931 0.0294255104478546 -0.243710641544904 0.135797616440725 -0.0383795753496046 0 0 0 0 0 0
-0.0547878583239604 0.108108108108108 -0.116727684612986 0.0284524634851811 -0.244776436513316 0.140189539574498 -0.0405932511593472 0 0 0 0 0 0
-0.0554206591802043 0.11011011011011 -0.116508647231073 0.027501107743785 -0.245739076047506 0.144619773249886 -0.0428904521772367 0 0 0 0 0 0
-0.0560726847124725 0.112112112112112 -0.116214885577566 0.0265711987171462 -0.246600069889491 0.149086710761168 -0.0452727251663868 0 0 0 0 0 0
-0.0567461566026541 0.114114114114114 -0.115851307369838 0.0256624918987449 -0.247360927781291 0.153588745402621 -0.0477416168899113 0 0 0 0 0 0
-0.057443319463961 0.116116116116116 -0.115422820325263 0.0247747427820608 -0.248023159464923 0.158124270468525 -0.0502986741109241 0 0 0 0 0 0
-0.0581664399878753 0.118118118118118 -0.114934332161213 0.0239077068605739 -0.248588274682406 0.162691679253159 -0.0529454435925391 0 0 0 0 0 0
