"","Binomial","Beta","Hurdle"
"Mstar",148.768605117487,557.284651784152,706.053256901639
"Mvir",385.916178065672,662.672573913287,1048.58875197896
"ssfr_stars",283.167876006207,220.583162856442,503.751038862648
"baryon_fraction",4374.04060630635,2083.23386146522,6457.27446777158
"spin",46.4826131756346,15.3680020094195,61.8506151850541
"QHI",4264.97608176011,4527.7393240305,8792.71540579061
"C",907.062707145791,435.296062236805,1342.3587693826
